K	 PECKI	 6.31   9.13   15.44   30
K	 PRIZRENSKI	 10.80   12.63   23.43   128
K	 KOSOVSKO_POMORAVSKI	 10.73   10.92   21.65   356
K	 KOSOVSKI	 14.05   13.98   28.03   393
K	 KOSOVSKO_MITROVACKI	 12.21   11.11   23.32   627
S	 PIROTSKI	 7.02   9.79   16.81   922
S	 TOPLICKI	 9.34   11.71   21.05   1116
S	 ZAJECARSKI	 6.06   9.34   15.40   1207
S	 BORSKI	 7.82   10.09   17.91   1367
V	 SEVERNOBANATSKI	 8.00   11.19   19.19   1587
S	 KOLUBARSKI	 9.08   11.35   20.43   1802
S	 BRANICEVSKI	 8.29   11.48   19.77   1969
V	 SEVERNOBACKI	 7.32   11.32   18.64   1994
V	 SREDNJEBANATSKI	 7.30   10.47   17.77   2046
V	 ZAPADNOBACKI	 9.31   11.58   20.89   2111
S	 MORAVICKI	 8.39   11.24   19.63   2259
S	 POMORAVSKI	 10.52   12.83   23.35   2351
S	 PODUNAVSKI	 7.54   11.28   18.82   2354
S	 JABLANICKI	 13.18   13.50   26.68   2535
S	 RASINSKI	 7.51   11.00   18.51   2593
S	 PCINJSKI	 15.89   16.08   31.97   3004
S	 SUMADIJSKI	 10.12   12.38   22.50   3135
V	 JUZNOBANATSKI	 8.15   11.50   19.65   3204
S	 ZLATIBORSKI	 9.37   12.48   21.85   3403
V	 SREMSKI	 9.00   11.53   20.53   3538
S	 MACVANSKI	 8.26   11.28   19.54   3615
S	 RASKI	 12.99   14.24   27.23   3849
S	 NISAVSKI	 11.04   13.55   24.59   4053
V	 JUZNOBACKI	 9.76   12.71   22.47   6672
S	 GRAD_BEOGRAD	 10.08   12.81   22.89   16474
